STAB,STATE,COUNTY,CITY,METRO,,,,,,
AE,US Armed Forces Europe,,Apo,Apo,,,,,,
AE,US Armed Forces Europe,,Dpo,DPO,,,,,,
AE,US Armed Forces Europe,,Apo,Fpo,,,,,,
AE,US Armed Forces Europe,,Fpo,FPO,,,,,,
AK,Alaska,ALEUTIANS WEST,Adak,Adak,,,,,,
AK,Alaska,BETHEL,Akiachak,Akiachak,,,,,,
AK,Alaska,BETHEL,Akiak,Akiak,,,,,,
AK,Alaska,ALEUTIANS EAST,Akutan,Akutan,,,,,,
AK,Alaska,WADE HAMPTON,Alakanuk,Alakanuk,,,,,,
AK,Alaska,DILLINGHAM,Aleknagik,Aleknagik,,,,,,
AK,Alaska,YUKON KOYUKUK,Allakaket,Allakaket,,,,,,
AK,Alaska,NORTHWEST ARCTIC,Ambler,Ambler,,,,,,
AK,Alaska,NORTH SLOPE,Anaktuvuk,Anaktuvuk Pass,,,,,,
AK,Alaska,NORTH SLOPE,Anaktuvuk Pass,Anaktuvuk Pass,,,,,,
AK,Alaska,KENAI PENINSULA,Anchor Point,Anchor Point,,,,,,
AK,Alaska,KENAI PENINSULA,Nikolaevsk,Anchor Point,,,,,,
AK,Alaska,ANCHORAGE,Anchorage,Anchorage,,,,,,
AK,Alaska,DENALI,Anderson,Anderson,,,,,,
AK,Alaska,DENALI,Nenana,Anderson,,,,,,
AK,Alaska,HOONAH ANGOON,Angoon,Angoon,,,,,,
AK,Alaska,BETHEL,Aniak,Aniak,,,,,,
AK,Alaska,BETHEL,Chuathbaluk,Aniak,,,,,,
AK,Alaska,BETHEL,Stony River,Aniak,,,,,,
AK,Alaska,YUKON KOYUKUK,Anvik,Anvik,,,,,,
AK,Alaska,YUKON KOYUKUK,Arctic Village,Arctic Village,,,,,,
AK,Alaska,YUKON KOYUKUK,Arctic Vlg,Arctic Village,,,,,,
AK,Alaska,ALEUTIANS WEST,Atka,Atka,,,,,,
AK,Alaska,NORTH SLOPE,Atqasuk,Atqasuk,,,,,,
AK,Alaska,NORTH SLOPE,Barrow,Atqasuk,,,,,,
AK,Alaska,JUNEAU,Auke Bay,Auke Bay,,,,,,
AK,Alaska,JUNEAU,Juneau,Auke Bay,,,,,,
AK,Alaska,NORTH SLOPE,Barrow,Barrow,,,,,,
AK,Alaska,YUKON KOYUKUK,Beaver,Beaver,,,,,,
AK,Alaska,BETHEL,Atmautluak,Bethel,,,,,,
AK,Alaska,BETHEL,Bethel,Bethel,,,,,,
AK,Alaska,BETHEL,Napaskiak,Bethel,,,,,,
AK,Alaska,BETHEL,Newtok,Bethel,,,,,,
AK,Alaska,YUKON KOYUKUK,Bettles,Bettles Field,,,,,,
AK,Alaska,YUKON KOYUKUK,Bettles Field,Bettles Field,,,,,,
AK,Alaska,MATANUSKA SUSITNA,Big Lake,Big Lake,,,,,,
AK,Alaska,MATANUSKA SUSITNA,Wasilla,Big Lake,,,,,,
AK,Alaska,NOME,Brevig Mission,Brevig Mission,,,,,,
AK,Alaska,NOME,Brevig Msn,Brevig Mission,,,,,,
AK,Alaska,NORTHWEST ARCTIC,Buckland,Buckland,,,,,,
AK,Alaska,DENALI,Cantwell,Cantwell,,,,,,
AK,Alaska,YUKON KOYUKUK,Central,Central,,,,,,
AK,Alaska,YUKON KOYUKUK,Chalkyitsik,Chalkyitsik,,,,,,
AK,Alaska,YUKON KOYUKUK,Fort Yukon,Chalkyitsik,,,,,,
AK,Alaska,BETHEL,Chefornak,Chefornak,,,,,,
AK,Alaska,WADE HAMPTON,Chevak,Chevak,,,,,,
AK,Alaska,SOUTHEAST FAIRBANKS,Chicken,Chicken,,,,,,
AK,Alaska,LAKE AND PENINSULA,Chignik Lagn,Chignik Lagoon,,,,,,
AK,Alaska,LAKE AND PENINSULA,Chignik Lagoon,Chignik Lagoon,,,,,,
AK,Alaska,LAKE AND PENINSULA,Chignik,Chignik Lake,,,,,,
AK,Alaska,LAKE AND PENINSULA,Chignik Lake,Chignik Lake,,,,,,
AK,Alaska,LAKE AND PENINSULA,Chignik,Chignik,,,,,,
AK,Alaska,VALDEZ CORDOVA,Chitina,Chitina,,,,,,
AK,Alaska,ANCHORAGE,Chugiak,Chugiak,,,,,,
AK,Alaska,YUKON KOYUKUK,Circle,Circle,,,,,,
AK,Alaska,KENAI PENINSULA,Clam Gulch,Clam Gulch,,,,,,
AK,Alaska,DILLINGHAM,Clarks Point,Clarks Point,,,,,,
AK,Alaska,DENALI,Clear,Clear,,,,,,
AK,Alaska,DENALI,Nenana,Clear,,,,,,
AK,Alaska,PRINCE OF WALES HYDER,Coffman Cove,Coffman Cove,,,,,,
AK,Alaska,PRINCE OF WALES HYDER,Ketchikan,Coffman Cove,,,,,,
AK,Alaska,ALEUTIANS EAST,Adak,Cold Bay,,,,,,
AK,Alaska,ALEUTIANS EAST,Cold Bay,Cold Bay,,,,,,
AK,Alaska,ALEUTIANS EAST,Nelson Lagoon,Cold Bay,,,,,,
AK,Alaska,KENAI PENINSULA,Cooper Landing,Cooper Landing,,,,,,
AK,Alaska,KENAI PENINSULA,Cooper Lndg,Cooper Landing,,,,,,
AK,Alaska,VALDEZ CORDOVA,Copper Center,Copper Center,,,,,,
AK,Alaska,VALDEZ CORDOVA,Chenega Bay,Cordova,,,,,,
AK,Alaska,VALDEZ CORDOVA,Cordova,Cordova,,,,,,
AK,Alaska,PRINCE OF WALES HYDER,Craig,Craig,,,,,,
AK,Alaska,BETHEL,Crooked Creek,Crooked Creek,,,,,,
AK,Alaska,NORTHWEST ARCTIC,Deering,Deering,,,,,,
AK,Alaska,SOUTHEAST FAIRBANKS,Delta Jct,Delta Junction,,,,,,
AK,Alaska,SOUTHEAST FAIRBANKS,Delta Junction,Delta Junction,,,,,,
AK,Alaska,SOUTHEAST FAIRBANKS,Dot Lake,Delta Junction,,,,,,
AK,Alaska,DENALI,Denali National Park,Denali National Park,,,,,,
AK,Alaska,DENALI,Denali Park,Denali National Park,,,,,,
AK,Alaska,DILLINGHAM,Dillingham,Dillingham,,,,,,
AK,Alaska,DILLINGHAM,Koliganek,Dillingham,,,,,,
AK,Alaska,DILLINGHAM,Twin Hills,Dillingham,,,,,,
AK,Alaska,JUNEAU,Douglas,Douglas,,,,,,
AK,Alaska,JUNEAU,Juneau,Douglas,,,,,,
AK,Alaska,ALEUTIANS WEST,Dutch Harbor,Dutch Harbor,,,,,,
AK,Alaska,ALEUTIANS WEST,Unalaska,Dutch Harbor,,,,,,
AK,Alaska,ANCHORAGE,Eagle River,Eagle River,,,,,,
AK,Alaska,SOUTHEAST FAIRBANKS,Eagle,Eagle,,,,,,
AK,Alaska,BETHEL,Eek,Eek,,,,,,
AK,Alaska,LAKE AND PENINSULA,Egegik,Egegik,,,,,,
AK,Alaska,FAIRBANKS NORTH STAR,Eielson AFB,Eielson AFB,,,,,,
AK,Alaska,FAIRBANKS NORTH STAR,Fairbanks,Eielson AFB,,,,,,
AK,Alaska,DILLINGHAM,Ekwok,Ekwok,,,,,,
AK,Alaska,HOONAH ANGOON,Elfin Cove,Elfin Cove,,,,,,
AK,Alaska,NOME,Elim,Elim,,,,,,
AK,Alaska,WADE HAMPTON,Emmonak,Emmonak,,,,,,
AK,Alaska,FAIRBANKS NORTH STAR,Ester,Ester,,,,,,
AK,Alaska,FAIRBANKS NORTH STAR,Badger,Fairbanks,,,,,,
AK,Alaska,FAIRBANKS NORTH STAR,Coldfoot,Fairbanks,,,,,,
AK,Alaska,FAIRBANKS NORTH STAR,Fairbanks,Fairbanks,,,,,,
AK,Alaska,FAIRBANKS NORTH STAR,Steese,Fairbanks,,,,,,
AK,Alaska,ALEUTIANS EAST,False Pass,False Pass,,,,,,
AK,Alaska,SOUTHEAST FAIRBANKS,Delta Jct,Fort Greely,,,,,,
AK,Alaska,SOUTHEAST FAIRBANKS,Delta Junction,Fort Greely,,,,,,
AK,Alaska,SOUTHEAST FAIRBANKS,Fort Greely,Fort Greely,,,,,,
AK,Alaska,FAIRBANKS NORTH STAR,Fort Wainwright,Fort Wainwright,,,,,,
AK,Alaska,FAIRBANKS NORTH STAR,Ft Wainwright,Fort Wainwright,,,,,,
AK,Alaska,YUKON KOYUKUK,Fort Yukon,Fort Yukon,,,,,,
