Year,State,Population  < 72 months old,# of Children Tested,Total  #  of Children with Confirmed BLL ≥10 µg/dL,% of Children Tested with Confirmed BLLs ≥10 µg/dL,5-9 µg/dL,≥5 µg/dL,10-14 µg/dL,15-19 µg/dL,20-24 µg/dL,25-44 µg/dL,45-69 µg/dL,≥70 µg/dL
1997,Alabama,357087,22875,1501,0.0656,,,890,410,120,76,5,0
1998,Alabama,352409,17827,988,0.0554,,,586,250,85,61,6,0
1999,Alabama,349592,17660,549,0.0311,,,344,114,44,41,6,0
2000,Alabama,356676,13719,315,0.023,,,205,62,20,21,7,0
2001,Alabama,357111,12107,642,0.053,,,392,129,62,54,5,0
2002,Alabama,357111,22495,454,0.0202,,,257,103,51,38,4,1
2003,Alabama,355715,21307,503,0.0236,,,299,107,50,42,4,1
2004,Alabama,357382,12833,370,0.0288,,,207,99,35,26,3,0
2005,Alabama,360396,19043,260,0.0137,,,157,58,28,13,4,0
2006,Alabama,365075,31961,345,0.0107944056819248,,,225,68,29,21,2,0
2007,Alabama,370240,36428,269,0.00738442968577147,,,175,60,14,19,1,0
2008,Alabama,374378,39174,243,0.00620309403166175,,,158,59,12,13,1,0
2009,Alabama,377117,19493,204,0.0105,,,131,43,14,15,1,0
2010,Alabama,365443,17088,122,0.0071,968,1090,81,21,9,9,2,0
2011,Alabama,363869,22349,119,0.00532462308183312,989,1108,70,23,13,12,1,0
2012,Alabama,360597,14744,109,0.00739283766597509,547,656,65,26,11,6,1,0
2013,Alabama,356565,29671,119,0.00401065032929182,888,1007,73,24,10,8,3,1
2014,Alabama,355222,24408,127,0.00520321214571595,653,780,79,32,4,11,0,1
2015,Alabama,354230,21798,101,0.00463345274329186,523,624,59,21,10,10,1,0
1997,Arizona,437505,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
1998,Arizona,451607,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
1999,Arizona,462341,1929,168,0.0871,,,93,42,12,18,3,0
2000,Arizona,459141,7249,181,0.025,,,105,35,19,20,2,0
2001,Arizona,463085,8026,170,0.0212,,,109,34,10,17,0,0
2002,Arizona,463085,12005,227,0.0189,,,159,42,16,9,1,0
2003,Arizona,506655,705,229,0.3248,,,165,35,13,15,1,0
2004,Arizona,526883,5592,211,0.0377,,,141,40,11,18,1,0
2005,Arizona,553123,34653,210,0.0061,,,137,34,19,20,0,0
2006,Arizona,587953,48827,193,0.00395273107092387,,,115,29,27,20,1,1
2007,Arizona,605565,46979,113,0.00240533007308841,,,74,23,8,8,0,0
2008,Arizona,616345,60745,152,0.00250226352363825,,,98,20,14,19,1,0
2009,Arizona,619403,71380,164,0.0023,,,117,23,10,12,2,0
2010,Arizona,546609,68734,155,0.0023,810,965,95,30,11,15,4,0
2011,Arizona,534113,62292,79,0.00126822059974074,487,566,43,17,7,12,0,0
2012,Arizona,527769,61463,101,0.00164326513186097,649,750,64,22,6,9,0,0
2013,Arizona,522392,61959,80,0.00129117642063648,556,636,52,14,10,3,1,0
2014,Arizona,521060,52094,69,0.00132452871184796,494,563,41,12,7,8,1,0
2015,Arizona,521310,47339,92,0.00194342934992164,433,525,56,14,8,14,0,0
1997,California,3204502,12410,2275,0.1833,,,562,678,542,434,52,7
1998,California,3104123,11798,1847,0.1566,,,489,546,429,341,37,5
1999,California,3029049,10054,1549,0.1541,,,364,470,356,314,37,8
2000,California,3018386,12717,1476,0.1161,,,400,411,307,319,32,7
2001,California,3034623,15043,1402,0.0932,,,324,443,281,322,27,5
2002,California,3034623,21889,1570,0.0717,,,462,519,286,275,26,2
2003,California,3034623,233542,2558,0.011,,,1555,490,247,233,31,2
2004,California,3034623,306888,2284,0.0074,,,1301,486,239,239,17,2
2005,California,3159667,519169,5691,0.011,,,3392,1176,526,539,50,8
2006,California,3191914,513064,5571,0.0108582944817801,,,3217,1209,576,519,39,11
2007,California,3209321,506242,2013,0.00397635903209448,,,1246,413,171,163,19,1
2008,California,3252643,631521,1683,0.00266499444842339,,,1006,353,175,133,11,5
2009,California,3284693,642967,1402,0.00218051625415683,,,890,277,111,110,12,2
2010,California,3036508,627649,1290,0.00205528899095952,20385,21676,823,240,110,101,16,0
2011,California,3037143,565397,1156,0.00204458110965788,15485,16641,680,245,114,108,9,0
2012,California,3023709,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013,California,3011879,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014,LA County only,3014451,146192,362,0.0025,3195,3557,238,70,38,15,1,0
2015,LA County only,3017125,152112,393,0.0082,2598,2991,243,86,26,29,9,0
1997,Colorado,331728,5077,180,0.0355,,,108,36,16,17,2,1
1998,Colorado,339604,4151,125,0.0301,,,78,24,6,14,3,0
1999,Colorado,345246,3815,102,0.0267,,,64,20,10,7,1,0
2000,Colorado,359123,6606,112,0.017,,,71,21,7,12,1,0
2001,Colorado,370914,8984,113,0.0126,,,62,20,18,12,1,0
2002,Colorado,370914,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2003,Colorado,370914,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2004,Colorado,370914,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2005,Colorado,370914,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2006,Colorado,413949,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2007,Colorado,413949,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2008,Colorado,413949,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2009,Colorado,413949,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2010,Colorado,413949,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2011,Colorado,411855,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2012,Colorado,408722,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013,Colorado,405810,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014,Colorado,405720,16555,28,0.00169133185409009,N/A,373,14,8,2,2,2,0
2015,Colorado,406769,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1997,Connecticut,260336,22435,298,0.0133,,,196,54,26,20,2,0
1998,Connecticut,261163,60725,2410,0.0397,,,1284,523,293,275,31,4
1999,Connecticut,263845,65603,2155,0.0328,,,1246,460,219,196,31,3
2000,Connecticut,270187,64685,2371,0.0367,,,1353,514,258,218,26,2
